2025-04-08 19:35:28,384 - Threat Detected: {'timestamp': 1744121128.3709037, 'source_ip': '192.168.1.238', 'dest_ip': '10.0.0.186', 'packet_size': 1139, 'protocol': 0, 'flag': 1, 'payload': 0.9665912430315104}
2025-04-08 19:36:22,919 - Threat Detected: {'timestamp': 1744121182.9045382, 'source_ip': '192.168.1.42', 'dest_ip': '10.0.0.210', 'packet_size': 635, 'protocol': 0, 'flag': 1, 'payload': 0.6788817084161767}
2025-04-08 19:36:24,461 - Threat Detected: {'timestamp': 1744121184.4443817, 'source_ip': '192.168.1.237', 'dest_ip': '10.0.0.40', 'packet_size': 1265, 'protocol': 0, 'flag': 1, 'payload': 0.6666703258238997}
2025-04-08 19:36:25,997 - Threat Detected: {'timestamp': 1744121185.9847522, 'source_ip': '192.168.1.8', 'dest_ip': '10.0.0.52', 'packet_size': 417, 'protocol': 0, 'flag': 1, 'payload': 0.7115977830565946}
2025-04-08 19:36:27,028 - Threat Detected: {'timestamp': 1744121187.0136037, 'source_ip': '192.168.1.90', 'dest_ip': '10.0.0.36', 'packet_size': 723, 'protocol': 1, 'flag': 0, 'payload': 0.9635715858630164}
2025-04-08 19:36:28,574 - Threat Detected: {'timestamp': 1744121188.5613554, 'source_ip': '192.168.1.140', 'dest_ip': '10.0.0.254', 'packet_size': 532, 'protocol': 0, 'flag': 0, 'payload': 0.8513955789055333}
2025-04-08 19:36:29,612 - Threat Detected: {'timestamp': 1744121189.5991266, 'source_ip': '192.168.1.176', 'dest_ip': '10.0.0.97', 'packet_size': 509, 'protocol': 0, 'flag': 1, 'payload': 0.5832001613797855}
2025-04-08 19:36:30,632 - Threat Detected: {'timestamp': 1744121190.624563, 'source_ip': '192.168.1.156', 'dest_ip': '10.0.0.155', 'packet_size': 911, 'protocol': 0, 'flag': 1, 'payload': 0.7407243536538574}
2025-04-08 19:36:31,153 - Threat Detected: {'timestamp': 1744121191.1333582, 'source_ip': '192.168.1.54', 'dest_ip': '10.0.0.229', 'packet_size': 608, 'protocol': 0, 'flag': 1, 'payload': 0.5035730126747111}
2025-04-08 19:36:31,667 - Threat Detected: {'timestamp': 1744121191.65421, 'source_ip': '192.168.1.223', 'dest_ip': '10.0.0.85', 'packet_size': 1460, 'protocol': 0, 'flag': 1, 'payload': 0.8048921695581451}
2025-04-08 19:36:34,232 - Threat Detected: {'timestamp': 1744121194.2180877, 'source_ip': '192.168.1.236', 'dest_ip': '10.0.0.210', 'packet_size': 1242, 'protocol': 0, 'flag': 1, 'payload': 0.7076204687601294}
2025-04-08 19:36:34,750 - Threat Detected: {'timestamp': 1744121194.7331223, 'source_ip': '192.168.1.151', 'dest_ip': '10.0.0.128', 'packet_size': 1491, 'protocol': 0, 'flag': 0, 'payload': 0.886330862964776}
2025-04-08 19:36:35,259 - Threat Detected: {'timestamp': 1744121195.2510998, 'source_ip': '192.168.1.245', 'dest_ip': '10.0.0.100', 'packet_size': 1467, 'protocol': 0, 'flag': 0, 'payload': 0.7486973157688451}
2025-04-08 19:36:37,326 - Threat Detected: {'timestamp': 1744121197.312644, 'source_ip': '192.168.1.62', 'dest_ip': '10.0.0.226', 'packet_size': 1467, 'protocol': 1, 'flag': 1, 'payload': 0.869257157223671}
2025-04-08 19:36:37,845 - Threat Detected: {'timestamp': 1744121197.8278754, 'source_ip': '192.168.1.3', 'dest_ip': '10.0.0.17', 'packet_size': 1062, 'protocol': 1, 'flag': 1, 'payload': 0.9491515976240615}
2025-04-08 19:36:39,386 - Threat Detected: {'timestamp': 1744121199.3780162, 'source_ip': '192.168.1.28', 'dest_ip': '10.0.0.135', 'packet_size': 467, 'protocol': 0, 'flag': 1, 'payload': 0.5779499457808668}
2025-04-08 19:36:44,546 - Threat Detected: {'timestamp': 1744121204.5243118, 'source_ip': '192.168.1.59', 'dest_ip': '10.0.0.243', 'packet_size': 1314, 'protocol': 0, 'flag': 1, 'payload': 0.5337412253526016}
2025-04-08 19:36:46,093 - Threat Detected: {'timestamp': 1744121206.0795977, 'source_ip': '192.168.1.100', 'dest_ip': '10.0.0.155', 'packet_size': 537, 'protocol': 1, 'flag': 1, 'payload': 0.8113560292409571}
2025-04-08 19:36:46,606 - Threat Detected: {'timestamp': 1744121206.5945957, 'source_ip': '192.168.1.182', 'dest_ip': '10.0.0.31', 'packet_size': 1447, 'protocol': 0, 'flag': 1, 'payload': 0.6641545688252785}
2025-04-08 19:36:48,150 - Threat Detected: {'timestamp': 1744121208.1360152, 'source_ip': '192.168.1.169', 'dest_ip': '10.0.0.241', 'packet_size': 1262, 'protocol': 1, 'flag': 1, 'payload': 0.9283757246824216}
2025-04-08 19:36:49,174 - Threat Detected: {'timestamp': 1744121209.161542, 'source_ip': '192.168.1.203', 'dest_ip': '10.0.0.196', 'packet_size': 1457, 'protocol': 1, 'flag': 1, 'payload': 0.9366786333311544}
2025-04-08 19:36:49,688 - Threat Detected: {'timestamp': 1744121209.6760652, 'source_ip': '192.168.1.196', 'dest_ip': '10.0.0.46', 'packet_size': 1341, 'protocol': 0, 'flag': 0, 'payload': 0.7131671885528261}
2025-04-08 19:36:50,726 - Threat Detected: {'timestamp': 1744121210.7027347, 'source_ip': '192.168.1.3', 'dest_ip': '10.0.0.112', 'packet_size': 1333, 'protocol': 0, 'flag': 0, 'payload': 0.7385376133375147}
2025-04-08 19:36:51,242 - Threat Detected: {'timestamp': 1744121211.2278972, 'source_ip': '192.168.1.94', 'dest_ip': '10.0.0.94', 'packet_size': 1187, 'protocol': 1, 'flag': 0, 'payload': 0.8260844531860826}
2025-04-08 19:36:51,756 - Threat Detected: {'timestamp': 1744121211.7431755, 'source_ip': '192.168.1.99', 'dest_ip': '10.0.0.251', 'packet_size': 1070, 'protocol': 0, 'flag': 1, 'payload': 0.5009162464188528}
2025-04-08 19:36:52,784 - Threat Detected: {'timestamp': 1744121212.7731123, 'source_ip': '192.168.1.247', 'dest_ip': '10.0.0.146', 'packet_size': 1302, 'protocol': 0, 'flag': 0, 'payload': 0.8132415280815214}
2025-04-08 19:36:53,817 - Threat Detected: {'timestamp': 1744121213.8038204, 'source_ip': '192.168.1.87', 'dest_ip': '10.0.0.173', 'packet_size': 1038, 'protocol': 1, 'flag': 1, 'payload': 0.7734821352447647}
2025-04-08 19:36:54,847 - Threat Detected: {'timestamp': 1744121214.8305383, 'source_ip': '192.168.1.5', 'dest_ip': '10.0.0.20', 'packet_size': 865, 'protocol': 0, 'flag': 1, 'payload': 0.8596667540620945}
2025-04-08 19:36:57,939 - Threat Detected: {'timestamp': 1744121217.92674, 'source_ip': '192.168.1.117', 'dest_ip': '10.0.0.181', 'packet_size': 400, 'protocol': 0, 'flag': 1, 'payload': 0.6226487340871469}
2025-04-08 19:36:58,981 - Threat Detected: {'timestamp': 1744121218.956974, 'source_ip': '192.168.1.55', 'dest_ip': '10.0.0.28', 'packet_size': 1070, 'protocol': 1, 'flag': 1, 'payload': 0.8611647098582826}
2025-04-08 19:37:02,066 - Threat Detected: {'timestamp': 1744121222.0519307, 'source_ip': '192.168.1.214', 'dest_ip': '10.0.0.141', 'packet_size': 1364, 'protocol': 0, 'flag': 0, 'payload': 0.8665862593497803}
2025-04-08 19:37:03,100 - Threat Detected: {'timestamp': 1744121223.0831342, 'source_ip': '192.168.1.8', 'dest_ip': '10.0.0.19', 'packet_size': 989, 'protocol': 0, 'flag': 1, 'payload': 0.9858009333471399}
2025-04-08 19:37:05,161 - Threat Detected: {'timestamp': 1744121225.1494157, 'source_ip': '192.168.1.49', 'dest_ip': '10.0.0.198', 'packet_size': 1175, 'protocol': 0, 'flag': 0, 'payload': 0.7308274764100419}
2025-04-08 19:37:06,194 - Threat Detected: {'timestamp': 1744121226.1804404, 'source_ip': '192.168.1.214', 'dest_ip': '10.0.0.127', 'packet_size': 1355, 'protocol': 0, 'flag': 1, 'payload': 0.9196171172478141}
2025-04-08 19:37:06,703 - Threat Detected: {'timestamp': 1744121226.695202, 'source_ip': '192.168.1.35', 'dest_ip': '10.0.0.105', 'packet_size': 1427, 'protocol': 0, 'flag': 1, 'payload': 0.8966391913369449}
2025-04-08 19:37:09,287 - Threat Detected: {'timestamp': 1744121229.261128, 'source_ip': '192.168.1.134', 'dest_ip': '10.0.0.155', 'packet_size': 1282, 'protocol': 1, 'flag': 0, 'payload': 0.7836096536056242}
2025-04-08 19:37:12,902 - Threat Detected: {'timestamp': 1744121232.8885026, 'source_ip': '192.168.1.230', 'dest_ip': '10.0.0.180', 'packet_size': 663, 'protocol': 0, 'flag': 0, 'payload': 0.7175764247961258}
2025-04-08 19:37:13,933 - Threat Detected: {'timestamp': 1744121233.9189942, 'source_ip': '192.168.1.158', 'dest_ip': '10.0.0.30', 'packet_size': 1205, 'protocol': 0, 'flag': 1, 'payload': 0.99908870019479}
2025-04-08 19:37:16,512 - Threat Detected: {'timestamp': 1744121236.4994724, 'source_ip': '192.168.1.246', 'dest_ip': '10.0.0.210', 'packet_size': 1244, 'protocol': 0, 'flag': 0, 'payload': 0.8380315564076101}
2025-04-08 19:37:18,050 - Threat Detected: {'timestamp': 1744121238.0369432, 'source_ip': '192.168.1.156', 'dest_ip': '10.0.0.185', 'packet_size': 760, 'protocol': 1, 'flag': 1, 'payload': 0.8193719931254215}
2025-04-08 19:37:19,086 - Threat Detected: {'timestamp': 1744121239.0730808, 'source_ip': '192.168.1.222', 'dest_ip': '10.0.0.130', 'packet_size': 462, 'protocol': 1, 'flag': 0, 'payload': 0.8760349955669702}
2025-04-08 19:37:19,601 - Threat Detected: {'timestamp': 1744121239.58695, 'source_ip': '192.168.1.14', 'dest_ip': '10.0.0.68', 'packet_size': 1280, 'protocol': 0, 'flag': 1, 'payload': 0.5499109002503075}
2025-04-08 19:37:20,631 - Threat Detected: {'timestamp': 1744121240.6176138, 'source_ip': '192.168.1.63', 'dest_ip': '10.0.0.79', 'packet_size': 362, 'protocol': 0, 'flag': 1, 'payload': 0.7889106318856414}
2025-04-08 19:37:21,149 - Threat Detected: {'timestamp': 1744121241.1327424, 'source_ip': '192.168.1.120', 'dest_ip': '10.0.0.36', 'packet_size': 502, 'protocol': 1, 'flag': 0, 'payload': 0.9113900911065872}
2025-04-08 19:37:21,657 - Threat Detected: {'timestamp': 1744121241.6501415, 'source_ip': '192.168.1.141', 'dest_ip': '10.0.0.7', 'packet_size': 1086, 'protocol': 1, 'flag': 1, 'payload': 0.985024159140445}
2025-04-08 19:37:23,203 - Threat Detected: {'timestamp': 1744121243.1875455, 'source_ip': '192.168.1.101', 'dest_ip': '10.0.0.59', 'packet_size': 385, 'protocol': 0, 'flag': 1, 'payload': 0.5665537885704766}
2025-04-08 19:37:24,226 - Threat Detected: {'timestamp': 1744121244.2190523, 'source_ip': '192.168.1.150', 'dest_ip': '10.0.0.185', 'packet_size': 943, 'protocol': 1, 'flag': 1, 'payload': 0.8762699585425341}
2025-04-08 19:37:27,842 - Threat Detected: {'timestamp': 1744121247.8181384, 'source_ip': '192.168.1.29', 'dest_ip': '10.0.0.6', 'packet_size': 1135, 'protocol': 0, 'flag': 1, 'payload': 0.8533936734527017}
2025-04-08 19:37:28,872 - Threat Detected: {'timestamp': 1744121248.858832, 'source_ip': '192.168.1.6', 'dest_ip': '10.0.0.152', 'packet_size': 1403, 'protocol': 1, 'flag': 1, 'payload': 0.8132583109286121}
2025-04-08 19:37:32,989 - Threat Detected: {'timestamp': 1744121252.9716206, 'source_ip': '192.168.1.201', 'dest_ip': '10.0.0.136', 'packet_size': 1216, 'protocol': 1, 'flag': 0, 'payload': 0.7566117824586683}
2025-04-08 19:37:34,026 - Threat Detected: {'timestamp': 1744121254.005506, 'source_ip': '192.168.1.102', 'dest_ip': '10.0.0.128', 'packet_size': 1299, 'protocol': 0, 'flag': 1, 'payload': 0.6164059228947418}
2025-04-08 19:37:35,570 - Threat Detected: {'timestamp': 1744121255.5570514, 'source_ip': '192.168.1.57', 'dest_ip': '10.0.0.89', 'packet_size': 1497, 'protocol': 0, 'flag': 1, 'payload': 0.8906104795947029}
2025-04-08 19:37:37,115 - Threat Detected: {'timestamp': 1744121257.1025498, 'source_ip': '192.168.1.15', 'dest_ip': '10.0.0.199', 'packet_size': 983, 'protocol': 0, 'flag': 0, 'payload': 0.9307673968530745}
2025-04-08 19:37:39,179 - Threat Detected: {'timestamp': 1744121259.1649191, 'source_ip': '192.168.1.244', 'dest_ip': '10.0.0.26', 'packet_size': 936, 'protocol': 1, 'flag': 1, 'payload': 0.8290773220711051}
2025-04-08 19:37:40,207 - Threat Detected: {'timestamp': 1744121260.1945884, 'source_ip': '192.168.1.202', 'dest_ip': '10.0.0.117', 'packet_size': 672, 'protocol': 0, 'flag': 1, 'payload': 0.8827413465611165}
2025-04-08 19:37:43,815 - Threat Detected: {'timestamp': 1744121263.8043723, 'source_ip': '192.168.1.97', 'dest_ip': '10.0.0.97', 'packet_size': 535, 'protocol': 0, 'flag': 1, 'payload': 0.7472845351915831}
2025-04-08 19:37:46,383 - Threat Detected: {'timestamp': 1744121266.3696804, 'source_ip': '192.168.1.230', 'dest_ip': '10.0.0.99', 'packet_size': 1409, 'protocol': 0, 'flag': 0, 'payload': 0.7999346487182205}
2025-04-08 19:37:48,438 - Threat Detected: {'timestamp': 1744121268.4248672, 'source_ip': '192.168.1.163', 'dest_ip': '10.0.0.137', 'packet_size': 690, 'protocol': 0, 'flag': 1, 'payload': 0.9633184595969164}
2025-04-08 19:37:48,948 - Threat Detected: {'timestamp': 1744121268.9401565, 'source_ip': '192.168.1.227', 'dest_ip': '10.0.0.236', 'packet_size': 462, 'protocol': 1, 'flag': 1, 'payload': 0.8591198090096168}
2025-04-08 19:37:54,107 - Threat Detected: {'timestamp': 1744121274.0947182, 'source_ip': '192.168.1.95', 'dest_ip': '10.0.0.238', 'packet_size': 1198, 'protocol': 1, 'flag': 0, 'payload': 0.9731274018645183}
2025-04-08 19:37:56,690 - Threat Detected: {'timestamp': 1744121276.672328, 'source_ip': '192.168.1.22', 'dest_ip': '10.0.0.132', 'packet_size': 637, 'protocol': 0, 'flag': 1, 'payload': 0.9764669343038814}
2025-04-08 19:37:57,713 - Threat Detected: {'timestamp': 1744121277.698229, 'source_ip': '192.168.1.114', 'dest_ip': '10.0.0.146', 'packet_size': 582, 'protocol': 0, 'flag': 0, 'payload': 0.8115390758608771}
2025-04-08 19:37:58,229 - Threat Detected: {'timestamp': 1744121278.2145703, 'source_ip': '192.168.1.61', 'dest_ip': '10.0.0.98', 'packet_size': 801, 'protocol': 0, 'flag': 1, 'payload': 0.6452722432537648}
2025-04-08 19:37:59,772 - Threat Detected: {'timestamp': 1744121279.7588823, 'source_ip': '192.168.1.228', 'dest_ip': '10.0.0.203', 'packet_size': 908, 'protocol': 0, 'flag': 0, 'payload': 0.9943627787569347}
2025-04-08 19:38:00,802 - Threat Detected: {'timestamp': 1744121280.7885904, 'source_ip': '192.168.1.225', 'dest_ip': '10.0.0.173', 'packet_size': 657, 'protocol': 1, 'flag': 0, 'payload': 0.9223441530072737}
2025-04-08 19:38:01,317 - Threat Detected: {'timestamp': 1744121281.303157, 'source_ip': '192.168.1.27', 'dest_ip': '10.0.0.194', 'packet_size': 851, 'protocol': 1, 'flag': 1, 'payload': 0.9028200503129629}
2025-04-08 19:38:02,859 - Threat Detected: {'timestamp': 1744121282.852789, 'source_ip': '192.168.1.17', 'dest_ip': '10.0.0.214', 'packet_size': 742, 'protocol': 1, 'flag': 1, 'payload': 0.9954444712354139}
2025-04-08 19:38:03,889 - Threat Detected: {'timestamp': 1744121283.8752012, 'source_ip': '192.168.1.55', 'dest_ip': '10.0.0.197', 'packet_size': 802, 'protocol': 1, 'flag': 0, 'payload': 0.9663541913884137}
2025-04-08 19:38:07,996 - Threat Detected: {'timestamp': 1744121287.9822712, 'source_ip': '192.168.1.124', 'dest_ip': '10.0.0.225', 'packet_size': 563, 'protocol': 0, 'flag': 0, 'payload': 0.8484487321400364}
2025-04-08 19:38:09,033 - Threat Detected: {'timestamp': 1744121289.0114815, 'source_ip': '192.168.1.241', 'dest_ip': '10.0.0.215', 'packet_size': 944, 'protocol': 0, 'flag': 1, 'payload': 0.7333338765211181}
2025-04-08 19:38:10,063 - Threat Detected: {'timestamp': 1744121290.0492887, 'source_ip': '192.168.1.69', 'dest_ip': '10.0.0.168', 'packet_size': 1331, 'protocol': 1, 'flag': 1, 'payload': 0.7086092271979767}
2025-04-08 19:38:10,578 - Threat Detected: {'timestamp': 1744121290.5640318, 'source_ip': '192.168.1.73', 'dest_ip': '10.0.0.25', 'packet_size': 1383, 'protocol': 1, 'flag': 1, 'payload': 0.859412798804554}
2025-04-08 19:38:15,216 - Threat Detected: {'timestamp': 1744121295.2049212, 'source_ip': '192.168.1.193', 'dest_ip': '10.0.0.131', 'packet_size': 646, 'protocol': 0, 'flag': 1, 'payload': 0.6348328398120784}
2025-04-08 19:38:18,316 - Threat Detected: {'timestamp': 1744121298.302881, 'source_ip': '192.168.1.60', 'dest_ip': '10.0.0.106', 'packet_size': 406, 'protocol': 0, 'flag': 0, 'payload': 0.9761724730383556}
2025-04-08 19:38:20,379 - Threat Detected: {'timestamp': 1744121300.3653738, 'source_ip': '192.168.1.36', 'dest_ip': '10.0.0.106', 'packet_size': 703, 'protocol': 1, 'flag': 1, 'payload': 0.7967324584258596}
2025-04-08 19:38:20,897 - Threat Detected: {'timestamp': 1744121300.880811, 'source_ip': '192.168.1.206', 'dest_ip': '10.0.0.31', 'packet_size': 618, 'protocol': 0, 'flag': 0, 'payload': 0.9317720686414032}
2025-04-08 19:38:21,922 - Threat Detected: {'timestamp': 1744121301.9083006, 'source_ip': '192.168.1.156', 'dest_ip': '10.0.0.80', 'packet_size': 518, 'protocol': 0, 'flag': 1, 'payload': 0.601020769005543}
2025-04-08 19:38:22,437 - Threat Detected: {'timestamp': 1744121302.423043, 'source_ip': '192.168.1.175', 'dest_ip': '10.0.0.180', 'packet_size': 1343, 'protocol': 1, 'flag': 1, 'payload': 0.7735911517223143}
2025-04-08 19:38:22,951 - Threat Detected: {'timestamp': 1744121302.9385626, 'source_ip': '192.168.1.229', 'dest_ip': '10.0.0.38', 'packet_size': 1338, 'protocol': 0, 'flag': 0, 'payload': 0.7633495368091504}
2025-04-08 19:38:23,985 - Threat Detected: {'timestamp': 1744121303.9683883, 'source_ip': '192.168.1.17', 'dest_ip': '10.0.0.55', 'packet_size': 1326, 'protocol': 1, 'flag': 1, 'payload': 0.9379510342486475}
2025-04-08 19:38:27,062 - Threat Detected: {'timestamp': 1744121307.0481122, 'source_ip': '192.168.1.206', 'dest_ip': '10.0.0.130', 'packet_size': 431, 'protocol': 0, 'flag': 1, 'payload': 0.7110807756335122}
2025-04-08 19:38:27,579 - Threat Detected: {'timestamp': 1744121307.5631394, 'source_ip': '192.168.1.46', 'dest_ip': '10.0.0.171', 'packet_size': 1294, 'protocol': 0, 'flag': 1, 'payload': 0.8748835311252797}
2025-04-08 19:38:29,121 - Threat Detected: {'timestamp': 1744121309.1037865, 'source_ip': '192.168.1.57', 'dest_ip': '10.0.0.223', 'packet_size': 570, 'protocol': 0, 'flag': 1, 'payload': 0.7939190621179676}
2025-04-08 19:38:31,183 - Threat Detected: {'timestamp': 1744121311.1657958, 'source_ip': '192.168.1.234', 'dest_ip': '10.0.0.121', 'packet_size': 499, 'protocol': 0, 'flag': 1, 'payload': 0.6135206951214919}
2025-04-08 19:38:32,727 - Threat Detected: {'timestamp': 1744121312.714005, 'source_ip': '192.168.1.27', 'dest_ip': '10.0.0.73', 'packet_size': 1330, 'protocol': 1, 'flag': 0, 'payload': 0.8156093680638534}
2025-04-08 19:38:34,279 - Threat Detected: {'timestamp': 1744121314.2562675, 'source_ip': '192.168.1.140', 'dest_ip': '10.0.0.211', 'packet_size': 759, 'protocol': 1, 'flag': 1, 'payload': 0.8230027673062278}
2025-04-08 19:38:34,798 - Threat Detected: {'timestamp': 1744121314.7809029, 'source_ip': '192.168.1.86', 'dest_ip': '10.0.0.178', 'packet_size': 809, 'protocol': 1, 'flag': 0, 'payload': 0.9655624970366973}
2025-04-08 19:38:35,314 - Threat Detected: {'timestamp': 1744121315.300363, 'source_ip': '192.168.1.54', 'dest_ip': '10.0.0.188', 'packet_size': 458, 'protocol': 1, 'flag': 0, 'payload': 0.9734763948445234}
2025-04-08 19:38:37,889 - Threat Detected: {'timestamp': 1744121317.875764, 'source_ip': '192.168.1.107', 'dest_ip': '10.0.0.104', 'packet_size': 1039, 'protocol': 1, 'flag': 1, 'payload': 0.9086572799185492}
2025-04-08 19:38:40,463 - Threat Detected: {'timestamp': 1744121320.450477, 'source_ip': '192.168.1.245', 'dest_ip': '10.0.0.124', 'packet_size': 490, 'protocol': 1, 'flag': 0, 'payload': 0.7508243498213597}
2025-04-08 19:38:42,028 - Threat Detected: {'timestamp': 1744121322.0059736, 'source_ip': '192.168.1.176', 'dest_ip': '10.0.0.220', 'packet_size': 1378, 'protocol': 0, 'flag': 0, 'payload': 0.9582019431302302}
2025-04-08 19:38:43,057 - Threat Detected: {'timestamp': 1744121323.044956, 'source_ip': '192.168.1.32', 'dest_ip': '10.0.0.71', 'packet_size': 1426, 'protocol': 0, 'flag': 0, 'payload': 0.7922687823064923}
2025-04-08 19:38:44,094 - Threat Detected: {'timestamp': 1744121324.0704587, 'source_ip': '192.168.1.44', 'dest_ip': '10.0.0.30', 'packet_size': 1097, 'protocol': 0, 'flag': 1, 'payload': 0.7004775675385635}
